id,url,path,project_names,category
0,http://www.newswire.ca/en/releases/archive/February2026/23/c1544.html,articles/February202623c1544.html,['Westgold Resources Limited (ASX: WGX)'],
1,http://www.newswire.ca/en/releases/archive/February2026/23/c5893.html,articles/February202623c5893.html,"['Berens Bridge & Road Project', 'PAK Lithium Project']",
2,http://www.newswire.ca/en/releases/archive/February2026/23/c4520.html,articles/February202623c4520.html,"['Columba High Grade Silver Project', 'Kootenay Silver Inc.', 'Chihuahua, Mexico']",
3,http://www.newswire.ca/en/releases/archive/February2026/23/c4355.html,articles/February202623c4355.html,"['Big Bear Copper Property', 'Black Mammoth Metals Corporation']",
4,http://www.newswire.ca/en/releases/archive/February2026/23/c1563.html,articles/February202623c1563.html,"['El Quevar', 'Mani-Copan', 'Carmen']",resource
5,http://www.newswire.ca/en/releases/archive/February2026/23/c3959.html,articles/February202623c3959.html,"['Livengood Gold Project', 'International Tower Hill Mines Ltd.']",
6,http://www.newswire.ca/en/releases/archive/February2026/23/c9642.html,articles/February202623c9642.html,"['Steelforce Packaging', 'North America', 'Stefforce Group', 'JFE Shoji America', 'Steelforce America']",
7,http://www.newswire.ca/en/releases/archive/February2026/23/c5183.html,articles/February202623c5183.html,"['Visible Gold Mines Inc.', 'Monarch Gold Corporation', 'Golden Goose Resources']",
8,http://www.newswire.ca/en/releases/archive/February2026/23/c6107.html,articles/February202623c6107.html,"['BLACKWATER MINES', 'ARTG']",
9,http://www.newswire.ca/en/releases/archive/February2026/23/c2470.html,articles/February202623c2470.html,"['Silver Hart Project', 'Amy Project']",
10,http://www.newswire.ca/en/releases/archive/February2026/23/c0916.html,articles/February202623c0916.html,"['Welchau-1', 'Welchau Project']",resource
11,http://www.newswire.ca/en/releases/archive/February2026/23/c8445.html,articles/February202623c8445.html,"['Carangas Silver-Gold Project', 'Silver Sand Project']",
12,http://www.newswire.ca/en/releases/archive/February2026/23/c5882.html,articles/February202623c5882.html,"['EL POZO', 'ESCACENA PROJECT']",
13,http://www.newswire.ca/en/releases/archive/February2026/23/c8092.html,articles/February202623c8092.html,['Wicheeda Rare Earth Element Project'],
14,http://www.newswire.ca/en/releases/archive/February2026/23/c4400.html,articles/February202623c4400.html,"['Eminent Gold Corp.', 'Eminent', 'Hot Springs Range', 'Gilbert South', 'Celts']",
15,http://www.newswire.ca/en/releases/archive/February2026/23/c2401.html,articles/February202623c2401.html,"['FLORIDA CANYON GOLD MINE', 'DELAMAR PROJECT', 'Nevada North Project']",resource
16,http://www.newswire.ca/en/releases/archive/February2026/23/c0475.html,articles/February202623c0475.html,"['Hemlo Mining Corp.', 'Manroc Developments Inc.']",
17,http://www.newswire.ca/en/releases/archive/February2026/23/c2936.html,articles/February202623c2936.html,"['Ambler Metals', 'Upper Kobuk Mineral Projects', 'UKMP']",
18,http://www.newswire.ca/en/releases/archive/February2026/23/c6856.html,articles/February202623c6856.html,"['CENTURY LITHIUM PROJECT', 'ANGEL ISLAND LITHIUM PROJECT']",resource
19,http://www.newswire.ca/en/releases/archive/February2026/23/c2261.html,articles/February202623c2261.html,"['Fondaway Canyon', 'Getchell Gold Corp.']",
20,http://www.newswire.ca/en/releases/archive/February2026/22/c9606.html,articles/February202622c9606.html,"['FDN', 'LunR Royalties Corp.', 'Lundin Gold Inc.']",resource
21,http://www.newswire.ca/en/releases/archive/February2026/22/c1044.html,articles/February202622c1044.html,"['Lundin Gold Inc.', 'LunR Royalties Corp.']",
22,http://www.newswire.ca/en/releases/archive/February2026/22/c2479.html,articles/February202622c2479.html,"['Bullabulling', 'Minerals 260']",resource
23,http://www.newswire.ca/en/releases/archive/February2026/20/c5172.html,articles/February202620c5172.html,"['Savannah Minerals Corp.', 'Savannah Minerals Corp.']",
24,http://www.newswire.ca/en/releases/archive/February2026/20/c7988.html,articles/February202620c7988.html,"['Kootenay Silver', 'Gold Standard Media, LLC', 'Kootenay Silver Inc.']",
25,http://www.newswire.ca/en/releases/archive/February2026/20/c9853.html,articles/February202620c9853.html,"['American Atomics', 'Big Indian Prospectors LLC']",
26,http://www.newswire.ca/en/releases/archive/February2026/20/c6523.html,articles/February202620c6523.html,"['True North Gold Project', 'Rice Lake Exploration Properties']",
27,http://www.newswire.ca/en/releases/archive/February2026/20/c1657.html,articles/February202620c1657.html,"['Wine Project', 'Pipy Project']",
28,http://www.newswire.ca/en/releases/archive/February2026/20/c1337.html,articles/February202620c1337.html,"['McIlvenna Bay Project', 'Tesla Zone']",resource
29,http://www.newswire.ca/en/releases/archive/February2026/20/c6208.html,articles/February202620c6208.html,"['ELEMES PROJECT', 'ARRAS MINERALS']",
30,http://www.newswire.ca/en/releases/archive/February2026/19/c8227.html,articles/February202619c8227.html,"['Lundin Gold Inc.', 'FDN', 'FDNS', 'FDN East', 'Bonza Sur']",resource
31,http://www.newswire.ca/en/releases/archive/February2026/19/c8566.html,articles/February202619c8566.html,"['Lundin Gold Inc.', 'Fruta del Norte']",resource
32,http://www.newswire.ca/en/releases/archive/February2026/19/c0184.html,articles/February202619c0184.html,,resource
33,http://www.newswire.ca/en/releases/archive/February2026/19/c2298.html,articles/February202619c2298.html,"['Lundin Mining Corporation', 'Vicuña Project']",
34,http://www.newswire.ca/en/releases/archive/February2026/19/c6079.html,articles/February202619c6079.html,,resource
35,http://www.newswire.ca/en/releases/archive/February2026/19/c8761.html,articles/February202619c8761.html,"['Lomero Project', 'Aguablanca Project', 'Toral Project']",
36,http://www.newswire.ca/en/releases/archive/February2026/19/c8646.html,articles/February202619c8646.html,"['OREX MINERALS INC.', 'CONETO SILVER-GOLD PROJECT', 'SANDRA SILVER-GOLD PROJECT', 'JUMPING JOSEPHINE GOLD PROJECT']",
37,http://www.newswire.ca/en/releases/archive/February2026/19/c2770.html,articles/February202619c2770.html,"['OPINACA', 'VENIDERO', 'EL ZANJON']",
38,http://www.newswire.ca/en/releases/archive/February2026/19/c5688.html,articles/February202619c5688.html,"['McIlvenna Bay', 'Foran Mining Corporation']",resource
39,http://www.newswire.ca/en/releases/archive/February2026/19/c8825.html,articles/February202619c8825.html,"['Borborema', 'Aura Minerals', 'Discovery Silver', 'Côté Gold', 'Granite Creek', 'Jerritt Canyon', 'First Majestic', 'i-80 Gold', 'South Railroad', 'Blackrock Silver', 'Vareš']",
40,http://www.newswire.ca/en/releases/archive/February2026/19/c3438.html,articles/February202619c3438.html,"['CHILEAN METALS INC.', 'POWER METALLIC MINES INC.']",
41,http://www.newswire.ca/en/releases/archive/February2026/19/c7968.html,articles/February202619c7968.html,,resource
42,http://www.newswire.ca/en/releases/archive/February2026/19/c5908.html,articles/February202619c5908.html,"['Argenta Silver Corp.', 'El Quevar Project', 'Yaxtché Silver Deposit']",
43,http://www.newswire.ca/en/releases/archive/February2026/19/c4768.html,articles/February202619c4768.html,"['FORACO INTERNATIONAL SA', 'FORACO']",
44,http://www.newswire.ca/en/releases/archive/February2026/19/c1643.html,articles/February202619c1643.html,"['Shaakichiuwaanaan Project', 'CV5 Feasibility Study', 'CV13 Feasibility Study', 'Volkswagen Placement', 'Flow-Through Offering', 'Reoffering', 'PMET Resources Inc.', 'VW', 'CDIs']",resource
45,http://www.newswire.ca/en/releases/archive/February2026/18/c8576.html,articles/February202618c8576.html,"['Ducran Property', 'Pollux Project']",
46,http://www.newswire.ca/en/releases/archive/February2026/19/c9893.html,articles/February202619c9893.html,"['Phoenix', 'Wheeler River']",
47,http://www.newswire.ca/en/releases/archive/February2026/19/c5493.html,articles/February202619c5493.html,"['GoldHaven Resources', 'Wheaton Precious Metals', 'Capstone Copper', 'Ivanhoe Mines', 'Taseko Mines']",
48,http://www.newswire.ca/en/releases/archive/February2026/19/c0383.html,articles/February202619c0383.html,"['Eagle Energy Metals Corp.', 'Oklo', 'Meta Platforms Inc.', 'Nano Nuclear Energy Inc.', 'Ucore Rare Metals Corp.']",
49,http://www.newswire.ca/en/releases/archive/February2026/19/c6207.html,articles/February202619c6207.html,"['CK Gold Project', 'Keystone exploration property', 'Challis Gold Project']",
50,http://www.newswire.ca/en/releases/archive/February2026/19/c3912.html,articles/February202619c3912.html,"['Thompson Nickel Belt', 'Exiro Nickel Company']",
51,http://www.newswire.ca/en/releases/archive/February2026/19/c8556.html,articles/February202619c8556.html,"['Greyhound Property', 'Metallis Resources Inc.', 'Kirkham Property', 'Lucky Friday Mine']",
52,http://www.newswire.ca/en/releases/archive/February2026/19/c3195.html,articles/February202619c3195.html,"['Barsele', 'Oijärvi', 'Rajapalot']",
