id,name,keywords
13,kg,kg
3,%,%
8,carat,carat
5,cpht,cpht
11,cpt,cpt
2,g/t,g/t
6,lb,lb
7,oz,oz
12,oz/ton,oz/ton
4,ppm,ppm
1,t,t
10,ton,ton
28,gram,gram
27,flask,flask
29,ct/Cu m,ct/cu m
30,ct/100 Cu m,ct/100 cu m
31,carats/sq metre,carats/sq metre
32,sq metre,sq metre
34,kct,kct
35,kt,kt
36,koz,koz
18,cubic Yard,cubic yard
24,cubic km,cubic km
17,cubic metre,cubic metre
25,g/cu m,g/cu m
23,ltu,ltu
16,mg/l,mg/l
21,mtu,mtu
26,oz/cu yd,oz/cu yd
15,ppb,ppb
22,stu,stu
19,wet t,wet t
20,wet tons,wet tons
